time,open,high,low,close
1713426600,2954.6,2955.4,2952.2,2955.15
1713426900,2955.2,2955.2,2919.2,2931.25
1713427200,2931.75,2954.35,2929.4,2951
1713427500,2950.5,2952.7,2928.1,2940.7
1713427800,2941.3,2945,2935,2938.15
1713428100,2936.9,2941,2935.65,2938.75
1713428400,2937.95,2939.6,2931.2,2937.5
1713428700,2937.25,2940,2935,2937.9
1713429000,2937,2940,2935.15,2936.9
1713429300,2937,2937.5,2931,2935.95
1713429600,2936.15,2937.85,2934.2,2935.4
1713429900,2935,2940,2935,2937.85
1713430200,2938.85,2939.9,2934.6,2938.75
1713430500,2938.25,2939.5,2934.9,2937.3
1713430800,2937.2,2939.5,2936,2937
1713431100,2938.45,2940.2,2935.35,2938.55
1713431400,2938,2941.4,2936.75,2939.6
1713431700,2939.4,2943.2,2936.8,2943.2
1713432000,2943.05,2945,2940.45,2942.75
1713432300,2942.3,2944.35,2936.15,2938.05
1713432600,2938.1,2943.75,2931.65,2933.45
1713432900,2932.3,2937.15,2929.95,2931.05
1713433200,2930.75,2931,2920,2920.9
1713433500,2921,2924.65,2918.7,2923.15
1713433800,2923.1,2923.25,2921.4,2922.3
1713434100,2922.25,2925.8,2922.25,2924.75
1713498300,2913.55,2926.15,2903.4,2917.8
1713498600,2918.35,2918.45,2908,2911
1713498900,2911.05,2911.2,2906,2909.3
1713499200,2909.15,2917.15,2908.55,2915.65
1713499500,2915,2916.35,2906.6,2907
1713499800,2907.2,2907.2,2895.1,2898.15
1713500100,2897.15,2902.75,2895.4,2902.75
1713500400,2902.7,2904.85,2898,2901.4
1713500700,2900.95,2904.9,2899.1,2901.8
1713501000,2901.75,2910,2901.75,2905.4
1713501300,2905.5,2907,2901.65,2902.7
1713501600,2902.3,2903.2,2896.7,2897.2
1713501900,2897.75,2901.55,2895,2897.5
1713502200,2897.4,2900.75,2894.1,2895.6
1713502500,2894.75,2895.25,2888.85,2890
1713502800,2890.05,2892.95,2886.05,2891.4
1713503100,2891,2892.95,2890.25,2891.25
1713503400,2891.15,2896.3,2890.5,2895.75
1713503700,2895.95,2897,2892.5,2895.2
1713504000,2895.45,2896.85,2891.3,2896.25
1713504300,2896.5,2901.85,2895.15,2900.4
1713504600,2900,2901,2896.75,2900.5
1713504900,2900.45,2902.1,2898.95,2900.95
1713505200,2901,2905.1,2900.95,2905.1
1713505500,2905.05,2910.65,2901.95,2902.75
1713505800,2902,2904.65,2900,2902.35
1713506100,2902.55,2909.45,2902.05,2906.5
1713506400,2907,2909.45,2905.1,2906.2
1713506700,2905.45,2909,2902.15,2903.5
1713507000,2903.2,2908,2901.15,2905.65
1713507300,2905.4,2913.9,2903.1,2912.45
1713507600,2912.4,2917.75,2911.25,2913
1713507900,2913.25,2915,2910.2,2914.45
1713508200,2914.2,2918,2913,2917.1
1713508500,2917.25,2917.25,2913.15,2914.3
1713508800,2914.65,2915,2913,2914.5
1713509100,2914.55,2922,2913.4,2918.9
1713509400,2918.75,2923.9,2916.15,2921.15
1713509700,2921.3,2922.85,2918.55,2920
1713510000,2920.05,2929,2918.25,2928.35
1713510300,2927.95,2934.1,2927.05,2932.95
1713510600,2932.8,2938.05,2930.75,2935.1
1713510900,2935,2936.05,2927.75,2933
1713511200,2932.3,2933,2929.05,2931.7
1713511500,2931.3,2937.15,2931,2934.4
1713511800,2934.35,2936.9,2930.75,2936.9
1713512100,2936.45,2943.2,2936.1,2941.8
1713512400,2940.8,2942.9,2936.95,2939.5
1713512700,2938.9,2940.35,2934.05,2936.35
1713513000,2936.4,2942.1,2934.05,2940.5
1713513300,2940.6,2942,2937,2937.85
1713513600,2938.8,2940.2,2932.25,2933.5
1713513900,2933.25,2933.25,2928.15,2929.5
1713514200,2929.55,2930.05,2923.95,2924.65
1713514500,2924.4,2931.4,2922.1,2931.15
1713514800,2931.25,2944.35,2931.2,2943.85
1713515100,2943.4,2944.25,2938,2941.05
1713515400,2941.5,2944.6,2939.45,2941.4
1713515700,2941.25,2944.2,2939.5,2942.75
1713516000,2941.75,2948,2940.2,2941.1
1713516300,2940.6,2940.6,2935.35,2937.05
1713516600,2937,2939.55,2933.45,2935
1713516900,2935.4,2938.55,2932.05,2934.85
1713517200,2934.9,2938.65,2933,2936.9
1713517500,2937.05,2938.1,2933.85,2936.4
1713517800,2936.2,2938.2,2932.1,2933.7
1713518100,2932.5,2938.8,2932.5,2937.05
1713518400,2936.75,2943.7,2935.3,2942.65
1713518700,2942.55,2947.5,2940,2944.4
1713519000,2944.3,2945,2939.3,2940.6
1713519300,2940.55,2943.35,2936.8,2942.3
1713519600,2942.4,2945,2939.3,2940.2
1713519900,2940.05,2941,2937.45,2937.45
1713520200,2937.5,2941.8,2936.05,2940.8
1713520500,2940.6,2944.65,2935.25,2943.9
